ID	A1	A2	B1	B2	gene_name
ENSG00000156508	97315	159242	162227	145880	EEF1A1
ENSG00000198804	65010	56664	95131	96821	MT-CO1
ENSG00000198938	71219	51454	94507	94299	MT-CO3
ENSG00000198899	54103	45205	78663	89650	MT-ATP6
ENSG00000184009	36984	63584	79538	71132	ACTG1
ENSG00000198763	40082	41470	74284	87907	MT-ND2
ENSG00000074800	39481	64400	64944	59326	ENO1
ENSG00000140988	51221	55992	63900	48786	RPS2
ENSG00000277586	32369	58752	63579	56346	NEFL
ENSG00000198886	38876	32386	67254	72112	MT-ND4
ENSG00000198034	44294	53153	60028	47712	RPS4X
ENSG00000198712	50399	32712	58376	55112	MT-CO2
ENSG00000080824	31521	53370	57364	52535	HSP90AA1
ENSG00000089157	41786	51756	52870	44394	RPLP0
ENSG00000204389	43172	27659	56546	53297	HSPA1A
ENSG00000196262	32494	48870	53498	43943	PPIA
ENSG00000167526	42394	44060	49803	36680	RPL13
ENSG00000198727	34396	30040	51418	56515	MT-CYB
ENSG00000174444	33920	48405	47335	41922	RPL4
ENSG00000167658	29403	50206	43824	45313	EEF2
ENSG00000210082	45935	30814	41538	39499	MT-RNR2
ENSG00000185359	2371	2790	66584	82235	HGS
ENSG00000075624	23425	36341	48661	41674	ACTB
ENSG00000142937	31395	40372	41964	36000	RPS8
ENSG00000166165	33881	39172	43082	33314	CKB
ENSG00000198840	38475	24825	39785	36127	MT-ND3
ENSG00000161016	28703	37726	39591	31932	RPL8
ENSG00000100316	26803	37106	35882	32090	RPL3
ENSG00000065978	21531	36658	38734	34558	YBX1
ENSG00000149273	25751	35121	38590	31029	RPS3
ENSG00000142541	27086	32710	36541	28577	RPL13A
ENSG00000181163	22295	33213	36023	30992	NPM1
ENSG00000089009	21865	32292	35426	29304	RPL6
ENSG00000111640	20782	33426	32345	31481	GAPDH
ENSG00000135486	19903	30112	35575	32224	HNRNPA1
ENSG00000122406	26247	31622	32375	27488	RPL5
ENSG00000204388	36939	16926	34445	29011	HSPA1B
ENSG00000177606	95649	11486	5234	4581	JUN
ENSG00000204628	24902	31889	31872	28049	RACK1
ENSG00000130726	23661	32051	31550	27159	TRIM28
ENSG00000122566	21940	28700	32450	30617	HNRNPA2B1
ENSG00000168028	24058	30451	32927	26042	RPSA
ENSG00000096384	17919	30311	32925	31251	HSP90AB1
ENSG00000178695	15810	33307	32028	31186	KCTD12
ENSG00000137818	27418	27537	32643	24233	RPLP1
ENSG00000148303	18448	28134	31958	26099	RPL7A
ENSG00000067225	16881	27422	27635	27380	PKM
ENSG00000108953	16039	26778	28307	26475	YWHAE
ENSG00000144381	17484	26456	28796	24586	HSPD1
ENSG00000198888	16897	17038	29032	30974	MT-ND1
ENSG00000174748	17701	23795	26243	21428	RPL15
ENSG00000147403	20167	22203	24925	19210	RPL10
