sample	samples	STAM	STAM	ENSG00000136738.14
TCGA-NA-A4QV-01	TCGA-NA-A4QV-01	3.657	2	5.316
TCGA-25-2393-01	TCGA-25-2393-01	3.657	2	5.026
TCGA-24-2030-01	TCGA-24-2030-01	3.657	2	
TCGA-29-1778-01	TCGA-29-1778-01	3.184	1	3.628
TCGA-61-1917-01	TCGA-61-1917-01	2.848	2	4.091
TCGA-DK-A2HX-01	TCGA-DK-A2HX-01	2.615	2	3.611
TCGA-A8-A081-01	TCGA-A8-A081-01	2.526	2	4.895
TCGA-02-0069-01	TCGA-02-0069-01	2.442	1	
TCGA-A2-A0T2-01	TCGA-A2-A0T2-01	2.318	2	3.488
TCGA-HV-A5A3-01	TCGA-HV-A5A3-01	2.276	2	3.283
TCGA-FG-8185-01	TCGA-FG-8185-01	2.206	2	4.299
TCGA-D8-A1XU-01	TCGA-D8-A1XU-01	2.183	2	4.601
TCGA-A5-A0G5-01	TCGA-A5-A0G5-01	2.158	2	
TCGA-E2-A1LK-01	TCGA-E2-A1LK-01	2.131	1	4.618
TCGA-B6-A0RE-01	TCGA-B6-A0RE-01	2.109	2	4.776
TCGA-29-2414-01	TCGA-29-2414-01	2.051	2	3.739
TCGA-02-0087-01	TCGA-02-0087-01	2.04	2	
TCGA-A8-A07R-01	TCGA-A8-A07R-01	2.026	2	4.592
TCGA-BC-A10R-01	TCGA-BC-A10R-01	2.01	2	3.101
TCGA-D8-A142-01	TCGA-D8-A142-01	1.972	1	4.227
TCGA-CC-A8HU-01	TCGA-CC-A8HU-01	1.965	1	3.172
TCGA-23-1022-01	TCGA-23-1022-01	1.927	2	3.228
TCGA-AN-A0FZ-01	TCGA-AN-A0FZ-01	1.907	1	4.443
TCGA-GD-A3OS-01	TCGA-GD-A3OS-01	1.87	2	4.344
TCGA-LI-A67I-01	TCGA-LI-A67I-01	1.835	2	4.327
TCGA-A7-A5ZV-01	TCGA-A7-A5ZV-01	1.815	1	3.823
TCGA-29-1701-01	TCGA-29-1701-01	1.802	2	3.479
TCGA-OR-A5LB-01	TCGA-OR-A5LB-01	1.792	1	3.966
TCGA-DD-A73D-01	TCGA-DD-A73D-01	1.77	1	3.207
TCGA-HT-7873-01	TCGA-HT-7873-01	1.768	2	4.685
TCGA-61-2003-01	TCGA-61-2003-01	1.748	2	3.824
TCGA-CC-A5UD-01	TCGA-CC-A5UD-01	1.743	2	4.6
TCGA-10-0933-01	TCGA-10-0933-01	1.734	1	3.194
TCGA-E2-A1LI-01	TCGA-E2-A1LI-01	1.722	1	4.759
TCGA-DX-A3U7-01	TCGA-DX-A3U7-01	1.717	2	3.897
TCGA-36-1581-01	TCGA-36-1581-01	1.717	1	4.397
TCGA-D8-A1JL-01	TCGA-D8-A1JL-01	1.712	2	4.23
TCGA-30-1860-01	TCGA-30-1860-01	1.701	2	4.128
TCGA-OR-A5KO-01	TCGA-OR-A5KO-01	1.672	1	4.052
TCGA-A7-A26I-01	TCGA-A7-A26I-01	1.662	1	4.438
TCGA-A7-A13E-01	TCGA-A7-A13E-01	1.631	1	4.613
TCGA-AX-A1CC-01	TCGA-AX-A1CC-01	1.624	2	
TCGA-13-1512-01	TCGA-13-1512-01	1.621	2	4.806
TCGA-09-2044-01	TCGA-09-2044-01	1.594	2	3.962
TCGA-OR-A5LO-01	TCGA-OR-A5LO-01	1.592	1	3.5
TCGA-AR-A1AQ-01	TCGA-AR-A1AQ-01	1.591	2	4.758
TCGA-04-1343-01	TCGA-04-1343-01	1.582	2	2.734
TCGA-DB-5277-01	TCGA-DB-5277-01	1.573	2	4.907
TCGA-4Z-AA7R-01	TCGA-4Z-AA7R-01	1.549	2	3.839
TCGA-AN-A0AJ-01	TCGA-AN-A0AJ-01	1.548	1	4.39
TCGA-R6-A6DN-01	TCGA-R6-A6DN-01	1.545	1	5.038
TCGA-09-0367-01	TCGA-09-0367-01	1.542	2	2.958
TCGA-OR-A5J7-01	TCGA-OR-A5J7-01	1.541	1	4.498
TCGA-OR-A5K8-01	TCGA-OR-A5K8-01	1.53	1	2.694
TCGA-23-1021-01	TCGA-23-1021-01	1.516	1	3.467
TCGA-OR-A5LJ-01	TCGA-OR-A5LJ-01	1.515	1	3.175
TCGA-ZF-A9RN-01	TCGA-ZF-A9RN-01	1.501	1	3.923
TCGA-DD-AAD5-01	TCGA-DD-AAD5-01	1.484	2	2.924
TCGA-DH-A7UU-01	TCGA-DH-A7UU-01	1.48	1	4.419
TCGA-36-2552-01	TCGA-36-2552-01	1.477	1	
TCGA-4B-A93V-01	TCGA-4B-A93V-01	1.475	1	3.951
TCGA-S3-AA10-01	TCGA-S3-AA10-01	1.452	1	4.204
TCGA-S3-AA0Z-01	TCGA-S3-AA0Z-01	1.452	1	3.976
TCGA-AO-A129-01	TCGA-AO-A129-01	1.446	2	4.129
TCGA-AN-A0AR-01	TCGA-AN-A0AR-01	1.445	2	3.99
TCGA-BA-6869-01	TCGA-BA-6869-01	1.434	1	5.003
TCGA-13-0757-01	TCGA-13-0757-01	1.417	1	
TCGA-DD-A1EL-01	TCGA-DD-A1EL-01	1.416	2	3.772
TCGA-HE-7130-01	TCGA-HE-7130-01	1.412	1	3.967
TCGA-13-0890-01	TCGA-13-0890-01	1.407	1	3.662
TCGA-13-0760-01	TCGA-13-0760-01	1.385	2	3.331
TCGA-77-7140-01	TCGA-77-7140-01	1.375	1	3.765
TCGA-BG-A0MS-01	TCGA-BG-A0MS-01	1.374	1	
TCGA-61-2018-01	TCGA-61-2018-01	1.368	2	
TCGA-25-1627-01	TCGA-25-1627-01	1.368	1	4.033
TCGA-56-A4BX-01	TCGA-56-A4BX-01	1.367	2	4.04
TCGA-UF-A71D-01	TCGA-UF-A71D-01	1.366	2	5.271
TCGA-CC-A3MB-01	TCGA-CC-A3MB-01	1.366	1	3.401
TCGA-HQ-A5NE-01	TCGA-HQ-A5NE-01	1.364	1	4.026
TCGA-A8-A07U-01	TCGA-A8-A07U-01	1.354	1	3.995
TCGA-A8-A07B-01	TCGA-A8-A07B-01	1.351	1	4.454
TCGA-AG-A014-01	TCGA-AG-A014-01	1.347	1	
TCGA-EY-A72D-01	TCGA-EY-A72D-01	1.345	1	3.214
TCGA-OR-A5J2-01	TCGA-OR-A5J2-01	1.343	1	4.053
TCGA-29-1691-01	TCGA-29-1691-01	1.339	1	3.629
TCGA-DK-A1AD-01	TCGA-DK-A1AD-01	1.334	2	3.247
TCGA-A7-A2KD-01	TCGA-A7-A2KD-01	1.319	2	4.061
TCGA-XF-A9SP-01	TCGA-XF-A9SP-01	1.319	1	2.919
TCGA-B6-A1KF-01	TCGA-B6-A1KF-01	1.317	1	4.31
TCGA-08-0350-01	TCGA-08-0350-01	1.305	1	
TCGA-13-0730-01	TCGA-13-0730-01	1.288	1	3.217
TCGA-BH-A18T-01	TCGA-BH-A18T-01	1.282	1	4.658
TCGA-WK-A8Y0-01	TCGA-WK-A8Y0-01	1.281	2	3.318
TCGA-HT-7483-01	TCGA-HT-7483-01	1.281	1	4.505
TCGA-D8-A1XW-01	TCGA-D8-A1XW-01	1.271	1	4.245
TCGA-D7-A4YU-01	TCGA-D7-A4YU-01	1.269	1	4.832
TCGA-A7-A13D-01	TCGA-A7-A13D-01	1.263	2	4.523
TCGA-09-1673-01	TCGA-09-1673-01	1.26	1	3.665
TCGA-NF-A4WX-01	TCGA-NF-A4WX-01	1.255	1	3.558
TCGA-DD-AADF-01	TCGA-DD-AADF-01	1.255	1	2.491
TCGA-QK-A6VB-01	TCGA-QK-A6VB-01	1.254	2	4.553
TCGA-CS-5393-01	TCGA-CS-5393-01	1.252	1	4.394
TCGA-OL-A5S0-01	TCGA-OL-A5S0-01	1.251	2	3.445
TCGA-A2-A3XS-01	TCGA-A2-A3XS-01	1.251	1	3.642
TCGA-A8-A08R-01	TCGA-A8-A08R-01	1.248	1	3.927
