sample	samples	HGS	HGS	ENSG00000185359.12
TCGA-DD-AADF-01	TCGA-DD-AADF-01	3.657	2	8.046
TCGA-NC-A5HT-01	TCGA-NC-A5HT-01	3.657	2	8.019
TCGA-BW-A5NO-01	TCGA-BW-A5NO-01	3.657	2	7.39
TCGA-A8-A07B-01	TCGA-A8-A07B-01	3.657	1	6.863
TCGA-XF-AAMX-01	TCGA-XF-AAMX-01	3.44	2	8.794
TCGA-AP-A053-01	TCGA-AP-A053-01	3.413	2	
TCGA-04-1356-01	TCGA-04-1356-01	3.333	2	7.278
TCGA-DD-A73D-01	TCGA-DD-A73D-01	3.12	1	6.671
TCGA-2Y-A9GZ-01	TCGA-2Y-A9GZ-01	2.727	2	5.945
TCGA-A8-A06R-01	TCGA-A8-A06R-01	2.701	2	7.213
TCGA-AL-3466-01	TCGA-AL-3466-01	2.655	1	6.983
TCGA-K6-A3WQ-01	TCGA-K6-A3WQ-01	2.619	2	7.03
TCGA-ER-A3ET-06	TCGA-ER-A3ET-06	2.569	2	7.496
TCGA-DD-AACJ-01	TCGA-DD-AACJ-01	2.555	2	7.657
TCGA-ND-A4WA-01	TCGA-ND-A4WA-01	2.549	1	6.928
TCGA-A2-A0T1-01	TCGA-A2-A0T1-01	2.511	2	7.079
TCGA-W3-AA21-06	TCGA-W3-AA21-06	2.459	2	7.543
TCGA-AN-A0AM-01	TCGA-AN-A0AM-01	2.41	2	7.311
TCGA-2Y-A9H0-01	TCGA-2Y-A9H0-01	2.341	2	6.899
TCGA-E2-A14W-01	TCGA-E2-A14W-01	2.23	1	7.706
TCGA-E2-A109-01	TCGA-E2-A109-01	2.217	2	6.985
TCGA-66-2756-01	TCGA-66-2756-01	2.203	2	6.767
TCGA-BR-A44U-01	TCGA-BR-A44U-01	2.183	1	6.829
TCGA-CG-4443-01	TCGA-CG-4443-01	2.081	2	6.352
TCGA-N8-A4PO-01	TCGA-N8-A4PO-01	2	1	7.27
TCGA-TM-A84H-01	TCGA-TM-A84H-01	1.998	2	6.767
TCGA-04-1514-01	TCGA-04-1514-01	1.931	2	7.174
TCGA-D3-A8GP-06	TCGA-D3-A8GP-06	1.912	2	6.962
TCGA-B9-A5W9-01	TCGA-B9-A5W9-01	1.876	1	6.635
TCGA-DD-AADC-01	TCGA-DD-AADC-01	1.86	2	7.683
TCGA-A8-A079-01	TCGA-A8-A079-01	1.858	2	6.165
TCGA-A2-A0T3-01	TCGA-A2-A0T3-01	1.852	2	6.318
TCGA-67-3770-01	TCGA-67-3770-01	1.844	2	5.447
TCGA-L9-A7SV-01	TCGA-L9-A7SV-01	1.836	2	7.762
TCGA-EY-A212-01	TCGA-EY-A212-01	1.833	2	
TCGA-AP-A5FX-01	TCGA-AP-A5FX-01	1.827	2	8.285
TCGA-EW-A1OZ-01	TCGA-EW-A1OZ-01	1.827	2	6.575
TCGA-A7-A2KD-01	TCGA-A7-A2KD-01	1.827	2	6.393
TCGA-E9-A5UP-01	TCGA-E9-A5UP-01	1.804	1	6.944
TCGA-A8-A09W-01	TCGA-A8-A09W-01	1.802	2	6.025
TCGA-09-1665-01	TCGA-09-1665-01	1.725	2	7.26
TCGA-OR-A5KU-01	TCGA-OR-A5KU-01	1.7	1	6.347
TCGA-3C-AALK-01	TCGA-3C-AALK-01	1.694	2	7.248
TCGA-AO-A1KQ-01	TCGA-AO-A1KQ-01	1.693	2	7.353
TCGA-UT-A88E-01	TCGA-UT-A88E-01	1.681	1	6.313
TCGA-EA-A5O9-01	TCGA-EA-A5O9-01	1.672	1	7.635
TCGA-A7-A5ZV-01	TCGA-A7-A5ZV-01	1.646	1	6.834
TCGA-13-0901-01	TCGA-13-0901-01	1.642	2	5.526
TCGA-H5-A2HR-01	TCGA-H5-A2HR-01	1.626	2	8.089
TCGA-BH-A0B4-01	TCGA-BH-A0B4-01	1.623	1	5.867
TCGA-EA-A5ZF-01	TCGA-EA-A5ZF-01	1.621	1	6.938
TCGA-B5-A0K3-01	TCGA-B5-A0K3-01	1.617	2	
TCGA-B3-4104-01	TCGA-B3-4104-01	1.612	2	7.265
TCGA-BH-A18G-01	TCGA-BH-A18G-01	1.609	1	6.984
TCGA-E9-A2JS-01	TCGA-E9-A2JS-01	1.604	1	6.161
TCGA-24-1424-01	TCGA-24-1424-01	1.586	2	6.693
TCGA-23-1121-01	TCGA-23-1121-01	1.58	2	
TCGA-2G-AALR-01	TCGA-2G-AALR-01	1.563	1	6.629
TCGA-LL-A73Y-01	TCGA-LL-A73Y-01	1.561	1	6.284
TCGA-WB-A81J-01	TCGA-WB-A81J-01	1.558	2	6.945
TCGA-E2-A1LA-01	TCGA-E2-A1LA-01	1.553	2	7.349
TCGA-EE-A3AE-06	TCGA-EE-A3AE-06	1.552	1	6.768
TCGA-OR-A5LT-01	TCGA-OR-A5LT-01	1.552	1	6.677
TCGA-55-1595-01	TCGA-55-1595-01	1.549	2	6.655
TCGA-A8-A08F-01	TCGA-A8-A08F-01	1.539	2	6.264
TCGA-BL-A0C8-01	TCGA-BL-A0C8-01	1.539	2	6.072
TCGA-A2-A04R-01	TCGA-A2-A04R-01	1.524	2	6.63
TCGA-BH-A0HW-01	TCGA-BH-A0HW-01	1.518	1	6.513
TCGA-NA-A4R1-01	TCGA-NA-A4R1-01	1.49	2	6.916
TCGA-13-0714-01	TCGA-13-0714-01	1.489	2	6.395
TCGA-73-4676-01	TCGA-73-4676-01	1.488	2	6.476
TCGA-XF-AAMH-01	TCGA-XF-AAMH-01	1.484	1	7.34
TCGA-95-7043-01	TCGA-95-7043-01	1.468	2	6.945
TCGA-36-2543-01	TCGA-36-2543-01	1.465	2	
TCGA-CC-A7IF-01	TCGA-CC-A7IF-01	1.464	1	6.507
TCGA-KV-A74V-01	TCGA-KV-A74V-01	1.459	1	6.542
TCGA-AJ-A3NH-01	TCGA-AJ-A3NH-01	1.455	2	7.798
TCGA-DD-A1EB-01	TCGA-DD-A1EB-01	1.452	2	6.113
TCGA-TQ-A7RK-01	TCGA-TQ-A7RK-01	1.445	2	7.292
TCGA-DD-A3A1-01	TCGA-DD-A3A1-01	1.441	2	6.78
TCGA-A7-A0CD-01	TCGA-A7-A0CD-01	1.437	1	5.784
TCGA-G7-6793-01	TCGA-G7-6793-01	1.436	2	6.711
TCGA-OR-A5LB-01	TCGA-OR-A5LB-01	1.435	1	6.135
TCGA-A8-A085-01	TCGA-A8-A085-01	1.434	2	6.28
TCGA-46-6025-01	TCGA-46-6025-01	1.426	2	7.336
TCGA-MV-A51V-01	TCGA-MV-A51V-01	1.423	1	7.587
TCGA-BH-A0C0-01	TCGA-BH-A0C0-01	1.42	2	6.739
TCGA-13-0921-01	TCGA-13-0921-01	1.419	2	
TCGA-BQ-5891-01	TCGA-BQ-5891-01	1.409	1	6.107
TCGA-EO-A1Y7-01	TCGA-EO-A1Y7-01	1.408	1	8.133
TCGA-BH-A0HX-01	TCGA-BH-A0HX-01	1.408	1	6.608
TCGA-EY-A54A-01	TCGA-EY-A54A-01	1.403	2	7.143
TCGA-BH-A0AW-01	TCGA-BH-A0AW-01	1.4	2	5.786
TCGA-EW-A2FS-01	TCGA-EW-A2FS-01	1.391	2	7.627
TCGA-QG-A5YW-01	TCGA-QG-A5YW-01	1.376	1	6.683
TCGA-G7-6790-01	TCGA-G7-6790-01	1.375	1	6.257
TCGA-E2-A1IG-01	TCGA-E2-A1IG-01	1.374	1	6.978
TCGA-C8-A137-01	TCGA-C8-A137-01	1.371	2	6.617
TCGA-D1-A17K-01	TCGA-D1-A17K-01	1.367	2	
TCGA-GL-A59T-01	TCGA-GL-A59T-01	1.365	1	7.005
TCGA-77-7139-01	TCGA-77-7139-01	1.355	2	6.888
