"","logFC","AveExpr","t","P.Value","adj.P.Val","B","regulate"
"O95271",4.32258460346798,19.7290764497425,7.39969313374348,2.49475934498428e-05,0.00398046366482671,3.08815020578061,"up-regulated"
"Q9BW19",4.16748036770768,20.4737955931518,5.11456916343017,0.000474027847050844,0.0126341866071785,0.160022790989979,"up-regulated"
"P12268",3.52254571533586,22.5066974790061,9.4325455632933,2.99180685083154e-06,0.000960369999116925,5.11583277213341,"up-regulated"
"Q92783",-3.42317738433573,24.412789494761,-7.04384932736625,3.77869637075372e-05,0.00398046366482671,2.68138530584199,"down-regulated"
"P28072",3.21627136332077,18.1742294483374,4.58625328161288,0.00103669413590855,0.0175146746119287,-0.62832837069225,"up-regulated"
"Q5VUA4",2.96177268718864,19.1300341913163,2.86790505833426,0.0169468230689948,0.0735125703398286,-3.42166497412501,"up-regulated"
"P02452",2.9549480293994,18.1258793307681,5.767321676,0.000190467393633948,0.00881417433398977,1.07546525902224,"up-regulated"
"P05090",2.6185615553545,19.1753354447354,5.12704120256463,0.000465577027571382,0.0126341866071785,0.178125863540601,"up-regulated"
"P00558",2.57999467670588,18.3642231185974,6.81731751641857,4.96007933311739e-05,0.00398046366482671,2.41348263732772,"up-regulated"
"Q9NTX7",2.4634414824008,24.5405046337024,1.99208049605968,0.0747509154207014,0.181780635227615,-4.84025727274479,"unchanged"
"Q9UK59",2.44106123304311,18.9489097936538,3.99328395307181,0.00261500361296494,0.0279805386587249,-1.56025207532109,"up-regulated"
"Q709F0",-2.40564916036737,19.757958617703,-5.66231532041909,0.0002196678961742,0.00881417433398977,0.932606805429328,"down-regulated"
"P07305",2.38150269102826,22.9336777135785,5.95397874723773,0.000148364760765218,0.00881417433398977,1.32526877831114,"up-regulated"
"P42167",2.30448078060176,18.2453038898231,4.11120986460456,0.00216723640293212,0.0248458173336147,-1.37129086324311,"up-regulated"
"Q86V81",2.30199777649922,21.4927262428051,5.70112051695886,0.00020835176450859,0.00881417433398977,0.985596294059508,"up-regulated"
"Q9NXR1",2.28552435432013,21.5979149997442,4.29348751711295,0.00162711460285234,0.0217626578131501,-1.0826260998998,"up-regulated"
"Q92925",-2.24897041770653,19.4018675398634,-5.2026310503581,0.000417686439378926,0.0126341866071785,0.287335468854801,"down-regulated"
"P0DUB6",-2.20940580497968,20.3207398359605,-5.01081479507282,0.000551023714954824,0.0126341866071785,0.00850574698981976,"down-regulated"
"Q9BVK6",-2.15542323283579,20.1690678817855,-4.4765091675768,0.00122580473899995,0.0187373010104279,-0.797224277459931,"down-regulated"
"P32119",2.01949795123315,23.2054634333082,5.17467908321563,0.000434751434741628,0.0126341866071785,0.247053232528835,"up-regulated"
"P25205",2.00837837300504,19.8051245185345,2.3791423505595,0.0389874546247478,0.123608612007691,-4.22886218736887,"up-regulated"
"Q13835",2.00271387291211,23.6873306505077,4.84798989941834,0.000700015441147074,0.0140440597880132,-0.23255955752835,"up-regulated"
"O75886",-2.00064803675803,21.064940181408,-5.04251729051978,0.000526169976558503,0.0126341866071785,0.0549759653875928,"down-regulated"
"Q13310",1.97774190400619,19.2965350912901,4.95644798893999,0.000596609864766461,0.0127674511060023,-0.0715408748785142,"up-regulated"
"P60900",1.96421774192702,19.5570044585998,4.79467808667928,0.000757702236581461,0.0143072010554499,-0.312352731065014,"up-regulated"
"Q9H8G2",1.93999962287701,21.548336271662,2.11911687386044,0.0604812911585288,0.156105951833114,-4.64370624996025,"unchanged"
"P31947",1.91677665177459,20.1525656396372,2.88987132544343,0.0163246469337815,0.0733759028582853,-3.38496310104478,"up-regulated"
"P14678",-1.90870276885948,20.4470913676597,-3.84285142700896,0.00333157430085787,0.0319622521724103,-1.80362790083469,"down-regulated"
"P20930",1.85916997736405,23.3247393666769,3.38388621880999,0.00708987139004001,0.0470188638218669,-2.55943942342217,"up-regulated"
"Q96GM5",1.85766091128546,25.7580756488544,4.29429267380358,0.00162507204794632,0.0217626578131501,-1.08136059940293,"up-regulated"
"P61313",1.81758792312268,18.7629745078335,4.43878480784606,0.00129899312004351,0.0189534905242713,-0.855674242057062,"up-regulated"
"P28482",1.77109121726109,19.4219718012317,4.1778800148979,0.00195050306441287,0.0240812109106359,-1.26521454932799,"up-regulated"
"P63104",1.76997243712722,18.5568491076708,4.26162898727325,0.00171015129419032,0.0219583426174038,-1.13276853435987,"up-regulated"
"P35030",-1.75272865107647,21.2473967944222,-3.45328422268125,0.0063157230350021,0.0445832585658549,-2.4441198077743,"down-regulated"
"Q06830",1.74636068023274,23.1421311674407,4.75260914680115,0.000806792891744483,0.0143878065694433,-0.375616462752469,"up-regulated"
