"","logFC","AveExpr","t","P.Value","adj.P.Val","B","regulate"
"P25398",6.25200793507955,19.2554380567551,7.99316836905016,3.84957148491576e-05,0.0104828271408114,2.46520639577456,"up-regulated"
"Q9NTX7",-5.38762458172467,23.0231437797354,-7.5025541632321,6.11243565061888e-05,0.0104828271408114,2.09733358797839,"down-regulated"
"O95271",-5.15933824879804,21.0974499368857,-6.37119906004755,0.000195180907747553,0.0223156837858035,1.12852938203793,"down-regulated"
"P07737",3.61828294245974,20.1435257853046,4.52082592064102,0.00183598249465498,0.157435498916665,-0.884500924193402,"up-regulated"
"P31151",3.37315736214173,19.0907929956143,3.89404807004699,0.00438052520858483,0.30050402930892,-1.6988847354446,"up-regulated"
"P48594",3.16757559831944,21.4891625809061,1.96752660271671,0.0838355712155556,0.887948936076686,-4.46410364489254,"unchanged"
"P31947",3.06733722864209,19.1023114837188,2.09044088825701,0.0691729918117471,0.887948936076686,-4.29021473426684,"unchanged"
"P12268",-3.00189363392357,19.7629403780661,-3.28902837264467,0.0106869806016397,0.458204293295301,-2.54262004362748,"down-regulated"
"P31949",2.88507956571593,18.1527668648135,2.33758531332017,0.0468853291019779,0.887948936076686,-3.93323474982157,"up-regulated"
"P40227",2.74641809361373,19.5462611562494,3.35180761619944,0.00972101613447748,0.458204293295301,-2.45284834075147,"up-regulated"
"P15104",2.73703436973311,18.8998541448901,2.21496624131892,0.056877531679319,0.887948936076686,-4.11134006006251,"unchanged"
"P63104",2.7041543923905,19.931892423479,2.19737729124145,0.0584741008948252,0.887948936076686,-4.13674352281742,"unchanged"
"P09211",2.6752287957415,19.5781234811102,1.92716364907019,0.0892734855455121,0.887948936076686,-4.52050043727368,"unchanged"
"P04075",2.65329290401628,19.9773073743369,1.74175677977923,0.118855570465581,0.900276651528436,-4.77402379954839,"unchanged"
"P42167",-2.63358674843892,18.0056463876207,-2.55929358034798,0.0330635608401708,0.887948936076686,-3.60820623061044,"down-regulated"
"P09874",-2.57353903661775,20.169199927328,-3.37326432706831,0.00941232319912294,0.458204293295301,-2.42226976419183,"down-regulated"
"P23528",2.52856064889815,19.6079838916929,2.13321738058392,0.0646807698574141,0.887948936076686,-4.22903832094784,"unchanged"
"P15311",2.44932935325795,18.4184857409562,2.18073742228245,0.060025150186515,0.887948936076686,-4.16073765227941,"unchanged"
"P47929",2.43003921189436,21.2803280793987,2.03144939096413,0.0758700630521299,0.887948936076686,-4.37404751595153,"unchanged"
"Q08554",-2.36401728976581,19.6162701823047,-1.9296260167901,0.0889322811661931,0.887948936076686,-4.51707095502525,"unchanged"
"P55072",2.32661405729808,19.1877145126217,1.95817609084471,0.0850662880237447,0.887948936076686,-4.47720227860647,"unchanged"
"P59665",-2.28366888464156,20.0340509130409,-2.35572098827244,0.0455638666658457,0.887948936076686,-3.90676541846907,"down-regulated"
"O75342",2.26281334300859,18.5446202644686,1.62981231272568,0.140917361646223,0.900276651528436,-4.92182282888041,"unchanged"
"P47897",2.25026181207143,18.4115873605941,1.95278275919323,0.0857840326823899,0.887948936076686,-4.48474841069566,"unchanged"
"P26599",2.23791159643434,18.1525184123784,2.00942445017035,0.0785283438671829,0.887948936076686,-4.40517405440193,"unchanged"
"P21796",2.22322463659814,18.3168104322237,2.13436823737253,0.064563940938651,0.887948936076686,-4.22738827723968,"unchanged"
"P04792",2.18324809761394,19.7487865501374,1.40894730204599,0.195672230677614,0.900276651528436,-5.19861072750747,"unchanged"
"P29508",2.17483297420421,19.0487153184342,1.58677223501018,0.150356260286722,0.900276651528436,-4.97740624106345,"unchanged"
"P12883",-2.1410170190727,18.3212940333375,-1.66780498646794,0.133038724761778,0.900276651528436,-4.87216543449024,"unchanged"
"P00338",2.1355414136206,19.8589454476546,1.8314218403313,0.103550896335474,0.887948936076686,-4.65263980033535,"unchanged"
"O43707",2.13253417147328,18.0016294825366,1.66307758878826,0.133996527038848,0.900276651528436,-4.87837350184128,"unchanged"
"Q15392",-2.07545525128769,17.2729264197675,-2.90562644204004,0.0192381488517829,0.733187228462394,-3.0989973674744,"down-regulated"
"P30101",2.07303344073464,18.0529238725614,2.01300914969812,0.0780896363883839,0.887948936076686,-4.40011476872976,"unchanged"
"P08123",2.01696148793812,18.636895472711,2.55889066300369,0.0330845206621768,0.887948936076686,-3.60879889277297,"up-regulated"
"Q00839",-2.0136820967356,21.9699282623003,-2.69015628676318,0.0269227710738477,0.887948936076686,-3.41560498963409,"down-regulated"
"P84243",1.95157238043361,18.8491482139478,2.38926070563476,0.0432173215341125,0.887948936076686,-3.857743565247,"up-regulated"
"Q96QA5",1.93933673354022,18.7816883924637,1.86309901872628,0.0986027221989844,0.887948936076686,-4.60919040534086,"unchanged"
"P16401",1.93864245724737,17.1100543536988,1.22181415358896,0.255781746046739,0.900276651528436,-5.41418438157816,"unchanged"
"P06576",1.89435584779217,19.7590746396164,1.7838862658648,0.111417914891641,0.900276651528436,-4.71729854957923,"unchanged"
"P62917",1.88170796824572,16.8942051431248,1.23698785716546,0.250388667406949,0.900276651528436,-5.3974468843234,"unchanged"
"P07355",1.85992903640709,20.4487132842985,1.99934672150122,0.0797744850701544,0.887948936076686,-4.41938293648424,"unchanged"
"P35637",1.8424197850687,22.1063666061443,2.02320882140179,0.0768542933977387,0.887948936076686,-4.38570495476252,"unchanged"
"Q16777",1.84122890517523,20.754124430468,1.40278398728028,0.197438769333398,0.900276651528436,-5.206010706499,"unchanged"
"O43143",1.83130612745857,18.733307760448,2.08627123403539,0.0696268285428766,0.887948936076686,-4.29616123369808,"unchanged"
"P29373",1.82228243361843,18.0665877110378,1.37312341593888,0.206135399536993,0.900276651528436,-5.24135188616613,"unchanged"
"P40939",1.79839436106684,17.6430474622765,1.94019794566198,0.0874814894297227,0.887948936076686,-4.50233024542622,"unchanged"
"P62805",1.79785075554394,20.1119631135671,1.03816105110313,0.328875700679811,0.900276651528436,-5.60509562932451,"unchanged"
"P14618",1.79434658119358,20.2754714839468,1.84745059923064,0.101018444309129,0.887948936076686,-4.63068917242601,"unchanged"
"P02100",-1.7887976759534,19.2992030160516,-2.0862533269171,0.0696287838492166,0.887948936076686,-4.29618676508588,"unchanged"
