"","logFC","AveExpr","t","P.Value","adj.P.Val","B","regulate"
"Q7Z7L7",3.37717263446619,20.2017439273019,4.85664220122212,0.000828987376115788,0.0649373444624034,-0.343822969589901,"up-regulated"
"Q9C0D3",3.24808172454787,16.7548947390231,2.60803467722863,0.0277268888626402,0.250608418566171,-3.85473442239253,"up-regulated"
"Q8WXE9",-2.83491325826078,18.4788136673304,-6.89458147455498,6.18010902462658e-05,0.0145232562078725,2.24641477035238,"down-regulated"
"P35232",2.60631118941271,20.2380268774714,2.77460164300366,0.0210317180986437,0.233035387119279,-3.58471316241258,"up-regulated"
"P58107",-2.18747764947475,17.5601911920668,-5.23158709508437,0.000492706052120586,0.0578929611241688,0.18011941770525,"down-regulated"
"P31151",-2.0368850343991,20.4260999854166,-2.64510670775482,0.0260715124307994,0.245072216849514,-3.79478422580341,"down-regulated"
"O95831",1.87031598506937,17.6051621932295,3.12335256421076,0.0118384347202489,0.183202969173897,-3.01716144253435,"up-regulated"
"P51532",-1.73172793226258,19.5468506854001,-4.20406395879467,0.00215206679482534,0.117261390394269,-1.30643907306865,"down-regulated"
"Q8TAQ2",-1.58200122534287,17.300513863053,-3.69311644650898,0.00473489070716353,0.145872731221055,-2.10079947931352,"down-regulated"
"P12268",-1.57950492464006,16.1390379781439,-4.10650946211012,0.00249492319987807,0.117261390394269,-1.45556940906191,"down-regulated"
"P25705",1.54622867675539,19.297302587916,3.6979714935132,0.004698793573672,0.145872731221055,-2.09310797829911,"up-regulated"
"Q92945",-1.52629480519452,19.5702797455324,-2.57228340462966,0.0294231103554522,0.253932806360127,-3.91244605737363,"down-regulated"
"O43390",-1.43372120480173,17.8491898529662,-1.70109883513954,0.122184587482758,0.5417618501594,-5.24724070774821,"unchanged"
"Q8NDV7",-1.40282200191544,18.1086239745928,-3.18265558696736,0.0107453060414879,0.183202969173897,-2.92083174933077,"down-regulated"
"Q13242",-1.3916993236221,16.6679646502574,-3.190097490394,0.0106156821038125,0.183202969173897,-2.90875316741847,"down-regulated"
"Q8WWM7",-1.3701937942439,16.3400927082148,-3.61854681901271,0.00532739374601876,0.145872731221055,-2.21923574579644,"down-regulated"
"P07384",-1.37000689249742,17.0811343657194,-3.17194277231333,0.0109347791216041,0.183202969173897,-2.93822326461997,"down-regulated"
"P68371",1.34450032311531,18.7120626885018,3.38071870757302,0.00779287296690691,0.183132514722312,-2.60035429807735,"up-regulated"
"Q56A73",1.34321122786737,18.2609502060794,2.75250848599845,0.0218160787941453,0.233035387119279,-3.62061183139855,"up-regulated"
"Q92785",-1.33081115252382,20.1388835097506,-3.58861648469079,0.00558661523825316,0.145872731221055,-2.26692664635557,"down-regulated"
"P61626",-1.31940604605914,20.8185489761591,-1.88141775617053,0.0916714377656564,0.471475540073816,-4.98783766945375,"unchanged"
"Q9UKV8",-1.30796690523898,17.004426260617,-1.55521819543479,0.153368213970201,0.589043550206901,-5.4471582175396,"unchanged"
"O43143",-1.30308951441489,17.041471591723,-2.68843786950722,0.0242621481371676,0.243330903033721,-3.72459267543004,"down-regulated"
"O14874",-1.24047037470512,17.2987798119581,-2.67399300936517,0.0248508156289758,0.243330903033721,-3.74800482882105,"down-regulated"
"P31949",-1.23637402489352,19.0888949127504,-2.34372762925933,0.0429947067440461,0.325927615640349,-4.27814275264391,"down-regulated"
"Q09666",1.21799952253467,16.2064343360419,3.15906956876676,0.0111670316507545,0.183202969173897,-2.95912814374915,"up-regulated"
"Q14574",-1.21771845883982,17.7395790886153,-2.7642864341613,0.0213943155580096,0.233035387119279,-3.60147651600429,"down-regulated"
"P54886",1.17254779507803,16.3466438294546,2.80427364083679,0.0200230381494406,0.233035387119279,-3.53647179651535,"up-regulated"
"Q92922",-1.15574674801289,19.7881430701446,-3.05447916815908,0.01325298074875,0.183202969173897,-3.12917776248995,"down-regulated"
"P00441",-1.14864923373069,16.147334186139,-2.91387346578262,0.0167045772579441,0.218087536423159,-3.35809658327425,"down-regulated"
"P08238",1.1011650254651,18.3180447473342,1.71251558622129,0.120005007092797,0.5417618501594,-5.23119542251301,"unchanged"
"Q96HS1",-1.09347081675925,17.1002431715522,-2.29620350208668,0.0465134578222566,0.332175854812661,-4.35326804966919,"down-regulated"
"Q9H8G2",-1.07008586864749,19.3796639902246,-2.55548081501936,0.0302558237365258,0.253932806360127,-3.93953125724577,"down-regulated"
"Q969G3",-1.06479581104867,19.8858509607458,-2.19949633679814,0.0545659951056068,0.36637168142336,-4.50488148420416,"unchanged"
"Q12824",-1.04554272575643,18.3418483250401,-3.05854324096493,0.0131648742043435,0.183202969173897,-3.12256464426431,"down-regulated"
"Q15828",1.03371122719415,17.4391536882774,2.4722311185714,0.0347417366668507,0.281527866093445,-4.07331084963878,"up-regulated"
"Q96P63",1.01735099292605,21.0115864377529,2.09454287252032,0.0648364898665165,0.404516905862345,-4.66719490659195,"unchanged"
"Q9UPQ9",-0.998662088291482,18.8151658464792,-2.4052573268124,0.0388258478790657,0.304135808386015,-4.18035032460974,"unchanged"
"P68104",0.981923458783324,22.3767497058679,2.08915456463051,0.0654112443522089,0.404516905862345,-4.67545775555329,"unchanged"
"Q9Y265",0.943090706116173,18.9571816145247,1.86051612585376,0.0948050125755135,0.471475540073816,-5.01852226542403,"unchanged"
"P22695",0.92990790236766,17.7265574353681,2.27642855865855,0.048059485377151,0.332175854812661,-4.38441371453035,"unchanged"
"O43175",0.894437833238719,17.1350974998926,2.12179265779981,0.062003461574993,0.404516905862345,-4.62529832666859,"unchanged"
"P08621",-0.887951414882835,17.0413924614185,-1.43468023565516,0.184272227370827,0.629238831653654,-5.60445639928658,"unchanged"
"O43809",0.861541852774213,19.4568703916646,1.87448169422966,0.0927003860509244,0.471475540073816,-4.99803676714194,"unchanged"
"Q9NZI8",-0.85324385610193,18.1411977144445,-1.12575062549263,0.288597486962681,0.764269804744133,-5.96841547811835,"unchanged"
"Q92841",-0.851189898062557,20.3044546964102,-1.32308054624953,0.217543012163794,0.671840853734398,-5.74288750538031,"unchanged"
"P05198",-0.833633443027765,16.4246699938311,-1.36968959480804,0.20307430693474,0.644898136887351,-5.68596362998831,"unchanged"
"P47929",0.81822228813558,17.6184474676106,0.892493710690149,0.394726811069311,0.866742699583912,-6.19852085308012,"unchanged"
"Q01469",-0.79872634607144,22.5702377768687,-2.02753846849089,0.0723408184440731,0.425002308358929,-4.76940986053617,"unchanged"
"P48594",-0.796157832954727,17.9586275911181,-1.50523247497872,0.165582920302173,0.607999785484542,-5.51331286772874,"unchanged"
"P06748",-0.78434707251558,18.1625506248725,-2.28393515195543,0.0474667753352888,0.332175854812661,-4.37259900056438,"unchanged"
